date,ticker,positive,tweets
20170405,AAAS,0.007,4955
20170405,AAT6,0.322,696
20170405,AAYJ,0.825,5667
20170405,ABB,0.738,6069
20170405,ABEL,0.088,5635
20170405,ABI6,0.065,5673
20170405,ABSY,0.496,7030
20170405,ABW,0.356,31
20170405,ACH,0.912,3179
20170405,ACOU,0.63,3458
20170405,ACWQ,0.483,1151
20170405,ADB,0.302,2708
20170405,ADB2,0.062,81
20170405,ADGI,0.336,6774
20170405,ADM0,0.309,2945
20170405,ADP,0.24,5526
20170405,ADQ,0.376,4826
20170405,ADUC,0.422,7709
20170405,ADV,0.066,1753
20170405,ADZS,0.455,853
20170405,AEEQ,0.345,3014
20170405,AEQJ,0.47,2778
20170405,AFB0,0.064,606
20170405,AFEO,0.472,3173
20170405,AFFT,0.238,1496
20170405,AFO,0.749,884
20170405,AFZU,0.422,5123
20170405,AGAU,0.68,5357
20170405,AGF,0.552,1722
20170405,AGZ,0.439,47
20170405,AHEL,0.413,2276
20170405,AHFM,0.132,2367
20170405,AHI,0.885,5210
20170405,AHWU,0.039,7086
20170405,AID,0.163,5002
20170405,AIDA,0.126,2183
20170405,AIJQ,0.866,523
20170405,AIS,0.478,1673
20170405,AJD,0.417,2132
20170405,AJLP,0.115,7752
20170405,AJQ,0.892,1838
20170405,AKA,0.615,2434
20170405,AKD,0.345,1925
20170405,AKE0,0.709,2578
20170405,AKG,0.526,2667
20170405,AKQ3,0.426,1907
20170405,AKRG,0.943,4211
20170405,AKZR,0.904,2470
20170405,ALYQ,0.791,8387
20170405,AMD2,0.404,6481
20170405,AMD6,0.75,3962
20170405,AMJ,0.183,5752
20170405,AMK2,0.061,1161
20170405,AMR3,0.152,3792
20170405,AMT5,0.611,6221
20170405,AMXS,0.742,5823
20170405,ANAH,0.19,3989
20170405,ANJO,0.607,1845
20170405,ANJQ,0.598,6953
20170405,ANK,0.052,5984
20170405,ANSZ,0.094,5160
20170405,AOR8,0.465,7109
20170405,AOU,0.197,3024
20170405,AOZ,0.584,96
20170405,APL,0.363,6943
20170405,APP5,0.897,581
20170405,AQH4,0.79,8023
20170405,AQIC,0.01,7757
20170405,AQKX,0.607,5962
20170405,AQLC,0.265,7162
20170405,AQM3,0.64,6143
20170405,AQXQ,0.806,6432
20170405,ATG,0.71,6704
20170405,ATGT,0.386,5716
20170405,ATT,0.301,2178
20170405,AUB8,0.471,7020
20170405,AUOH,0.431,6325
20170405,AUP,0.579,6947
20170405,AUR,0.861,161
20170405,AUZF,0.855,2007
20170405,AVMS,0.493,3356
20170405,AVUM,0.097,2891
20170405,AWHU,0.44,2819
20170405,AWN,0.208,3411
20170405,AWOU,0.301,4358
20170405,AWSP,0.4,8368
20170405,AWY,0.899,2700
20170405,AXB2,0.687,266
20170405,AXE,0.361,2052
20170405,AXLJ,0.426,3338
20170405,AYL,0.319,664
20170405,AYOI,0.78,7654
20170405,AYSI,0.366,4795
20170405,AYUY,0.03,8545
20170405,AYW,0.47,4688
20170405,AZG7,0.862,1023
20170405,AZGG,0.658,2650
20170405,AZM,0.887,5095
20170405,AZYZ,0.559,5773
20170405,BAEC,0.431,2367
20170405,BAG,0.961,3648
20170405,BAS1,0.94,3209
20170405,BAU,0.882,7685
20170405,BBAE,0.371,6334
20170405,BBCS,0.26,3277
20170405,BBFU,0.346,5950
