date,ticker,positive,tweets
20170315,AAAS,0.234,572
20170315,AAFK,0.439,170
20170315,AAT6,0.628,4361
20170315,AAYJ,0.094,7958
20170315,ABB,0.516,6090
20170315,ABEL,0.729,3726
20170315,ABI6,0.132,6452
20170315,ABSY,0.531,7516
20170315,ABW,0.289,3089
20170315,ACH,0.256,3159
20170315,ACI,0.51,1902
20170315,ACWQ,0.403,629
20170315,ADB,0.6,3196
20170315,ADB2,0.688,3572
20170315,ADGI,0.135,402
20170315,ADM0,0.127,6756
20170315,ADQ,0.856,4737
20170315,ADV,0.665,3316
20170315,ADZS,0.654,6470
20170315,AEEQ,0.481,4408
20170315,AEQJ,0.88,540
20170315,AFB0,0.352,5929
20170315,AFEO,0.421,4344
20170315,AFO,0.149,749
20170315,AFZU,0.253,8845
20170315,AGAU,0.089,4481
20170315,AGF,0.584,3385
20170315,AGKJ,0.662,4576
20170315,AGUY,0.387,3579
20170315,AGZ,0.406,8763
20170315,AHEL,0.774,908
20170315,AHFM,0.738,3232
20170315,AHGN,0.454,6353
20170315,AHI,0.315,5460
20170315,AHSV,0.142,7160
20170315,AHWU,0.978,4400
20170315,AID,0.957,4897
20170315,AIJQ,0.05,7228
20170315,AIS,0.564,3467
20170315,AJLP,0.657,1189
20170315,AKA,0.731,1652
20170315,AKD,0.298,1189
20170315,AKE0,0.346,7355
20170315,AKG,0.321,6202
20170315,AKQ3,0.67,1714
20170315,AKRG,0.033,7208
20170315,AKZR,0.296,7022
20170315,ALVM,0.498,5288
20170315,ALYQ,0.53,3851
20170315,AMD2,0.442,2445
20170315,AMD6,0.442,4855
20170315,AMDO,0.619,4124
20170315,AMJ,0.125,4036
20170315,AMK2,0.608,1555
20170315,AMR3,0.856,4487
20170315,AMT5,0.95,3046
20170315,AMXS,0.396,2624
20170315,ANAH,0.239,5077
20170315,ANC2,0.95,5316
20170315,ANJO,0.316,3891
20170315,ANJQ,0.182,1730
20170315,ANSD,0.008,51
20170315,ANSZ,0.99,1006
20170315,AOR8,0.611,2195
20170315,AOU,0.94,4600
20170315,AOZ,0.061,4691
20170315,APL,0.286,1418
20170315,APP5,0.84,174
20170315,APU9,0.475,385
20170315,APWX,0.973,8015
20170315,AQIC,0.18,2623
20170315,AQKX,0.762,8249
20170315,AQLC,0.307,4269
20170315,AQM3,0.07,2595
20170315,AQXQ,0.252,4986
20170315,ATG,0.347,3284
20170315,ATGT,0.318,1412
20170315,ATPJ,0.929,5729
20170315,ATT,0.842,850
20170315,AUB8,0.66,5644
20170315,AUHM,0.946,6942
20170315,AUOH,0.822,896
20170315,AUP,0.343,7131
20170315,AUR,0.09,1024
20170315,AUZF,0.413,1370
20170315,AVMS,0.114,1285
20170315,AVNV,0.273,4447
20170315,AVUM,0.049,7053
20170315,AWF,0.513,6646
20170315,AWN,0.924,6370
20170315,AWOU,0.582,5728
20170315,AWSP,0.846,4660
20170315,AWU,0.937,1934
20170315,AWV,0.163,1404
20170315,AWY,0.022,833
20170315,AXB2,0.515,1365
20170315,AXE,0.876,339
20170315,AXLJ,0.059,5556
20170315,AYL,0.475,3626
20170315,AYSI,0.503,5211
20170315,AYUY,0.117,8077
20170315,AYW,0.188,5302
20170315,AZF4,0.695,3419
20170315,AZG7,0.443,4371
20170315,AZGG,0.382,8668
20170315,AZM,0.959,838
20170315,AZYZ,0.192,8876
20170315,BAC,0.014,4805
20170315,BAEC,0.771,2814
20170315,BAG,0.851,2408
20170315,BAS1,0.533,1333
20170315,BAU,0.853,2737
20170315,BBCS,0.82,1987
20170315,BBFU,0.586,1464
20170315,BBIU,0.434,2451
20170315,BBNH,0.479,5309
20170315,BBOX,0.198,5368
20170315,BBQ,0.399,7294
20170315,BBVT,0.243,1812
20170315,BCG3,0.131,5815
20170315,BCJM,0.968,3282
20170315,BCRT,0.197,1649
