date,ticker,positive,tweets
20170328,AAAS,0.734,3358
20170328,AAT6,0.886,8380
20170328,ABB,0.392,6417
20170328,ABEL,0.391,4039
20170328,ABSY,0.15,1567
20170328,ABW,0.377,1385
20170328,ACH,0.453,5579
20170328,ACI,0.024,4400
20170328,ACOU,0.857,2645
20170328,ACWQ,0.254,7707
20170328,ADB,0.34,5687
20170328,ADB2,0.528,5866
20170328,ADGI,0.458,262
20170328,ADM0,0.808,635
20170328,ADP,0.819,613
20170328,ADQ,0.241,1645
20170328,ADUC,0.319,5663
20170328,ADV,0.906,1709
20170328,AEEQ,0.459,6847
20170328,AEQJ,0.032,1266
20170328,AFEO,0.548,1962
20170328,AFFT,0.307,4630
20170328,AFO,0.281,2964
20170328,AFZU,0.802,5587
20170328,AGAU,0.132,6715
20170328,AGF,0.284,5491
20170328,AGUY,0.364,8132
20170328,AHFM,0.328,6374
20170328,AHGN,0.798,5452
20170328,AHWU,0.303,5923
20170328,AID,0.578,5698
20170328,AIDA,0.274,1410
20170328,AIS,0.87,1555
20170328,AJD,0.277,1624
20170328,AJLP,0.202,2605
20170328,AJQ,0.382,842
20170328,AKA,0.934,6924
20170328,AKD,0.084,2682
20170328,AKE0,0.934,1965
20170328,AKG,0.05,4337
20170328,AKQ3,0.881,1051
20170328,AKRG,0.734,1479
20170328,AKZR,0.479,8547
20170328,ALVM,0.195,1138
20170328,ALYQ,0.824,7732
20170328,AMD2,0.743,91
20170328,AMDO,0.802,855
20170328,AMJ,0.966,5231
20170328,AMK2,0.484,511
20170328,AMR3,0.356,2647
20170328,AMT5,0.485,3435
20170328,AMXS,0.919,3002
20170328,ANAH,0.827,1013
20170328,ANJO,0.831,4143
20170328,ANJQ,0.34,5837
20170328,ANK,0.026,225
20170328,ANSD,0.243,2147
20170328,ANSZ,0.149,8705
20170328,AOR8,0.503,5596
20170328,AOU,0.806,8098
20170328,AOZ,0.524,3289
20170328,APL,0.693,2598
20170328,APP5,0.567,2504
20170328,APU9,0.12,7575
20170328,APWX,0.909,5670
20170328,AQIC,0.116,4480
20170328,AQLC,0.915,2488
20170328,AQM3,0.456,6230
20170328,ARG7,0.863,6612
20170328,ATG,0.939,6088
20170328,ATGT,0.567,1604
20170328,ATPJ,0.399,37
20170328,ATT,0.962,1818
20170328,AUB8,0.79,6698
20170328,AUHM,0.999,4921
20170328,AUR,0.004,3760
20170328,AUZF,0.103,8182
20170328,AVMS,0.419,1843
20170328,AVNV,0.818,3231
20170328,AVUM,0.731,4592
20170328,AWF,0.384,8282
20170328,AWHU,0.206,1292
20170328,AWN,0.028,4028
20170328,AWSP,0.906,891
20170328,AWU,0.462,6675
20170328,AWV,0.533,1390
20170328,AWY,0.19,3398
