date,ticker,positive,tweets
20170327,AAAS,0.333,1120
20170327,AAFK,0.623,6818
20170327,AAT6,0.607,1698
20170327,AAYJ,0.799,5402
20170327,ABB,0.808,1184
20170327,ABEL,0.365,675
20170327,ABI6,0.424,2361
20170327,ABW,0.133,1620
20170327,ACH,0.539,1420
20170327,ACI,0.925,6336
20170327,ACOU,0.456,1012
20170327,ADB,0.117,2665
20170327,ADB2,0.257,5023
20170327,ADGI,0.429,7078
20170327,ADM0,0.247,1976
20170327,ADP,0.84,5147
20170327,ADQ,0.918,4279
20170327,ADUC,1.0,2621
20170327,ADV,0.486,2107
20170327,ADZS,0.463,4792
20170327,AEQJ,0.713,3402
20170327,AFB0,0.623,384
20170327,AFEO,0.704,1788
20170327,AFO,0.112,1450
20170327,AGAU,0.539,848
20170327,AGF,0.526,4265
20170327,AGKJ,0.548,5878
20170327,AGUY,0.584,1761
20170327,AGZ,0.981,3373
20170327,AHEL,0.233,1076
20170327,AHFM,0.529,2864
20170327,AHGN,0.23,5600
20170327,AHI,0.668,6256
20170327,AHSV,0.016,1695
20170327,AHWU,0.582,6971
20170327,AID,0.205,6743
20170327,AIDA,0.487,1594
20170327,AIJQ,0.568,202
20170327,AJD,0.489,2682
20170327,AJLP,0.352,2093
20170327,AJQ,0.247,2525
20170327,AKA,0.494,2206
20170327,AKD,0.665,7359
20170327,AKE0,0.291,619
20170327,AKG,0.765,2104
20170327,AKQ3,0.239,2401
20170327,AKRG,0.265,7890
20170327,AKZR,0.648,206
20170327,ALVM,0.169,6420
20170327,ALYQ,0.206,6914
20170327,AMD2,0.748,1384
20170327,AMD6,0.543,4716
20170327,AMDO,0.491,7756
20170327,AMJ,0.367,6377
20170327,AMR3,0.872,1945
20170327,AMXS,0.182,3243
20170327,ANAH,0.088,5226
20170327,ANC2,0.583,5806
20170327,ANJO,0.495,3406
20170327,ANJQ,0.074,6220
20170327,ANK,0.451,2387
20170327,ANSD,0.709,4588
20170327,ANSZ,0.271,6903
20170327,AOR8,0.302,4742
20170327,AOZ,0.804,106
20170327,APL,0.459,5974
20170327,APU9,0.561,2091
20170327,AQH4,0.881,5992
20170327,AQIC,0.354,5267
20170327,AQKX,0.182,6965
20170327,AQLC,0.445,3870
20170327,AQM3,0.828,7719
20170327,AQXQ,0.712,2182
20170327,ARG7,0.491,6491
20170327,ATG,0.229,457
20170327,ATGT,0.331,8315
20170327,ATPJ,0.194,601
20170327,ATT,0.566,5309
20170327,AUB8,0.43,6354
20170327,AUHM,0.868,3334
20170327,AUOH,0.603,929
20170327,AUP,0.921,8239
20170327,AUR,0.458,7568
20170327,AUZF,0.522,216
20170327,AVUM,0.646,2823
20170327,AWF,0.109,2601
20170327,AWHU,0.547,4938
20170327,AWN,0.038,3677
20170327,AWOU,0.741,4986
20170327,AWU,0.98,2197
20170327,AWV,0.384,7481
