date,ticker,positive,tweets
20170201,AAAS,0.845,3676
20170201,AAT6,0.345,6137
20170201,AAYJ,0.527,7316
20170201,ABB,0.688,5540
20170201,ABEL,0.401,118
20170201,ABI6,0.982,6083
20170201,ABSY,0.447,3045
20170201,ABW,0.033,4201
20170201,ACI,0.569,529
20170201,ACWQ,0.676,349
20170201,ADB,0.885,1104
20170201,ADQ,0.13,2788
20170201,ADUC,0.732,1602
20170201,ADV,0.246,6652
20170201,ADZS,0.882,4186
20170201,AEEQ,0.112,4128
20170201,AEQJ,0.274,3100
20170201,AFB0,0.212,848
20170201,AFEO,0.388,4455
20170201,AFFT,0.864,4529
20170201,AFO,0.775,774
20170201,AGF,0.691,1512
20170201,AGKJ,0.611,1232
20170201,AGUY,0.588,3121
20170201,AHEL,0.459,2262
20170201,AHFM,0.421,4700
20170201,AHGN,0.228,6879
20170201,AHI,0.314,701
20170201,AHSV,0.534,6086
20170201,AHWU,0.885,7154
20170201,AID,0.194,3114
20170201,AIDA,0.589,1865
20170201,AIJQ,0.957,4518
20170201,AJD,0.856,4800
20170201,AJLP,0.894,3568
20170201,AJQ,0.899,382
20170201,AKA,0.554,2032
20170201,AKE0,0.357,7275
20170201,AKG,0.42,6742
20170201,AKQ3,0.204,1937
20170201,AKZR,0.418,6348
20170201,ALVM,0.479,6192
20170201,AMD2,0.692,4629
20170201,AMD6,0.632,5739
20170201,AMDO,0.699,1095
20170201,AMJ,0.347,6426
20170201,AMR3,0.977,950
20170201,AMT5,0.401,1764
20170201,AMXS,0.113,7435
20170201,ANC2,0.048,7034
20170201,ANJQ,0.586,3221
20170201,ANK,0.717,1419
20170201,ANSD,0.721,1414
20170201,ANSZ,0.281,3362
20170201,AOR8,0.215,4084
20170201,AOU,0.807,5596
20170201,APP5,0.72,5232
20170201,APU9,0.335,1016
20170201,APWX,0.843,6772
20170201,AQH4,0.559,4314
20170201,AQKX,0.665,993
20170201,AQLC,0.851,7632
20170201,ARG7,0.083,6441
20170201,ATPJ,0.293,2011
20170201,ATT,0.497,1034
20170201,AUB8,0.237,94
20170201,AUHM,0.66,7804
20170201,AUOH,0.742,124
20170201,AUP,0.662,7932
20170201,AUR,0.905,5929
20170201,AUZF,0.157,6583
20170201,AVMS,0.076,5605
20170201,AVNV,0.006,7543
20170201,AVUM,0.963,8025
20170201,AWF,0.124,7992
20170201,AWHU,0.302,2405
20170201,AWN,0.033,7509
20170201,AWOU,0.565,4943
20170201,AWSP,0.888,3518
20170201,AWU,0.442,6913
20170201,AWV,0.148,3879
20170201,AWY,0.147,2565
20170201,AXE,0.944,395
20170201,AXLJ,0.834,4682
20170201,AYL,0.665,2936
20170201,AYOI,0.233,2956
20170201,AYSI,0.122,4351
20170201,AYUY,0.503,7427
20170201,AYW,0.437,3797
20170201,AZG7,0.884,3506
20170201,AZM,0.237,4655
20170201,BAC,0.01,5512
20170201,BAEC,0.17,2863
20170201,BAS1,0.316,6388
20170201,BBAE,0.169,6636
20170201,BBCS,0.624,2694
20170201,BBFU,0.723,3478
20170201,BBIU,0.091,1452
20170201,BBLY,0.419,1311
20170201,BBNH,0.571,1804
20170201,BBOX,0.744,1193
20170201,BBQ,0.527,6002
20170201,BBVT,0.092,7087
20170201,BCG3,0.456,6541
20170201,BCJM,0.804,2636
20170201,BCRT,0.382,668
20170201,BCT2,0.261,7763
20170201,BDA0,0.469,1177
20170201,BDBB,0.746,2103
20170201,BDL,0.1,4251
20170201,BDYJ,0.872,7829
20170201,BEF1,0.853,6479
20170201,BERL,0.255,913
20170201,BFEU,0.924,3539
20170201,BFJ,0.923,3303
20170201,BFM9,0.665,1324
20170201,BFMF,0.576,2921
20170201,BFSN,0.693,8279
20170201,BFVJ,0.713,3897
20170201,BGN,0.4,26
20170201,BHA,0.452,5140
20170201,BHGI,0.642,152
20170201,BHJ1,0.788,1349
20170201,BHYA,0.157,6997
20170201,BIC6,0.907,2385
20170201,BICJ,0.285,2236
20170201,BIFY,0.69,4776
20170201,BIOH,0.356,3802
20170201,BJB1,0.098,1245
20170201,BJEZ,0.271,4421
20170201,BJZ,0.873,5063
20170201,BKK7,0.197,6186
20170201,BKMV,0.676,1964
20170201,BKOQ,0.504,3914
20170201,BKR,0.509,7313
20170201,BLI5,0.025,5000
20170201,BLM2,0.834,1770
20170201,BLP,0.013,3382
20170201,BLQ,0.264,3607
20170201,BMHQ,0.006,5940
20170201,BMTK,0.225,2370
20170201,BNBC,0.397,3887
20170201,BND,0.896,6949
20170201,BNFS,0.36,547
20170201,BNR,0.652,3749
20170201,BNTG,0.414,1161
20170201,BNVO,0.873,2641
20170201,BOGZ,0.098,6549
20170201,BOK8,0.552,3486
20170201,BOLL,0.294,3241
20170201,BOSR,0.815,1663
20170201,BOT,0.524,550
20170201,BQD,0.65,5064
20170201,BQD1,0.483,7473
20170201,BQJI,0.093,109
