date,ticker,positive,tweets
20170207,AAAS,0.316,1210
20170207,AAFK,0.285,598
20170207,AAT6,0.072,7224
20170207,AAYJ,0.375,3196
20170207,ABB,0.527,5475
20170207,ABEL,0.377,3410
20170207,ABI6,0.123,6777
20170207,ABSY,0.47,7051
20170207,ABW,0.789,1563
20170207,ACH,0.399,1908
20170207,ACI,0.586,6648
20170207,ACOU,0.385,4425
20170207,ACWQ,0.004,5226
20170207,ADB2,0.367,5861
20170207,ADGI,0.141,6337
20170207,ADP,0.2,4363
20170207,ADQ,0.159,2716
20170207,ADV,0.326,4194
20170207,ADZS,0.582,8751
20170207,AEEQ,0.331,6248
20170207,AEQJ,0.634,488
20170207,AFB0,0.298,2736
20170207,AFEO,0.98,491
20170207,AFFT,0.244,3680
20170207,AFO,0.715,5038
20170207,AFZU,0.48,6701
20170207,AGF,0.863,5097
20170207,AGKJ,0.792,3632
20170207,AGUY,0.656,8891
20170207,AGZ,0.499,8906
20170207,AHFM,0.822,3952
20170207,AHGN,0.901,6713
20170207,AHI,0.658,2952
20170207,AHSV,0.385,2256
20170207,AHWU,0.45,7559
20170207,AID,0.781,5467
20170207,AJLP,0.892,2042
20170207,AJQ,0.988,4531
20170207,AKA,0.802,7420
20170207,AKD,0.544,4159
20170207,AKE0,0.575,2124
20170207,AKG,0.508,1030
20170207,AKQ3,0.722,1602
20170207,AKRG,0.8,7581
20170207,AKZR,0.543,1572
20170207,ALVM,0.295,5412
20170207,ALYQ,0.255,7938
20170207,AMD6,0.872,1155
20170207,AMDO,0.29,4365
20170207,AMJ,0.353,1785
20170207,AMR3,0.181,6293
20170207,AMT5,0.294,4233
20170207,ANAH,0.448,7223
20170207,ANJO,0.494,2656
20170207,ANJQ,0.612,109
20170207,ANK,0.523,534
20170207,ANSD,0.105,2392
20170207,ANSZ,0.049,7520
20170207,AOR8,0.078,3841
20170207,AOU,0.61,7951
20170207,APL,0.528,3131
20170207,APP5,0.285,5770
20170207,APU9,0.931,6015
20170207,APWX,0.765,4763
20170207,AQH4,0.941,2235
20170207,AQIC,0.726,6798
20170207,AQKX,0.294,2672
20170207,AQLC,0.554,7065
20170207,AQM3,0.764,931
20170207,AQXQ,0.128,7901
20170207,ARG7,0.825,2640
20170207,ATG,0.964,5814
20170207,ATGT,0.986,6481
20170207,ATT,0.328,4403
20170207,AUB8,0.693,3789
20170207,AUHM,0.713,8277
20170207,AUOH,0.094,2969
20170207,AUR,0.091,5667
20170207,AUZF,0.453,5565
20170207,AVMS,0.572,2931
20170207,AVUM,0.925,4433
20170207,AWF,0.213,4761
20170207,AWN,0.609,7105
20170207,AWSP,0.041,5851
20170207,AWU,0.853,158
20170207,AWV,0.382,2099
20170207,AWY,0.174,6592
20170207,AXB2,0.928,8363
20170207,AXE,0.438,4183
20170207,AXLJ,0.593,3492
20170207,AYL,0.723,5056
20170207,AYOI,0.503,4115
20170207,AYW,0.963,8325
20170207,AZF4,0.377,6016
20170207,AZG7,0.034,2062
20170207,AZGG,0.981,645
20170207,AZM,0.148,4735
20170207,AZYZ,0.656,2556
20170207,BAC,0.985,2721
20170207,BAEC,0.741,832
20170207,BAG,0.641,5709
20170207,BAS1,0.432,8269
20170207,BAU,0.288,6861
20170207,BBIU,0.86,3791
20170207,BBLY,0.405,5694
20170207,BBNH,0.029,7617
20170207,BBOX,0.495,6566
20170207,BBQ,0.731,2585
20170207,BBVT,0.036,7434
20170207,BCG3,0.174,6606
20170207,BCJM,0.105,7544
20170207,BCRT,0.996,3266
20170207,BCT2,0.64,3465
20170207,BCXY,0.868,6570
20170207,BDA0,0.875,1215
20170207,BDBB,0.879,1535
20170207,BDL,0.037,3926
20170207,BDYJ,0.939,3091
20170207,BEF1,0.431,5702
20170207,BERL,0.745,3939
20170207,BFEU,0.432,7432
20170207,BFJ,0.208,6615
20170207,BFM9,0.327,6312
20170207,BFMF,0.832,2748
20170207,BFSN,0.016,4506
20170207,BFVJ,0.594,7730
20170207,BGEA,0.82,2938
20170207,BGN,0.784,6038
20170207,BHA,0.604,7006
20170207,BHJ1,0.247,7152
20170207,BHT,0.349,890
20170207,BHYA,0.009,2150
20170207,BIC6,0.149,1066
20170207,BICJ,0.988,5836
20170207,BIEN,0.847,5051
20170207,BIFY,0.019,2400
20170207,BIOH,0.002,5921
20170207,BIY1,0.451,6643
20170207,BJB1,0.782,7290
20170207,BJEZ,0.499,4476
20170207,BKJ,0.309,2848
20170207,BKK7,0.828,6760
20170207,BKMV,0.628,1405
20170207,BKR,0.38,4873
20170207,BLI5,0.719,168
20170207,BLM2,0.029,7106
20170207,BLP,0.991,5014
20170207,BLQ,0.382,7299
20170207,BMHD,0.361,1206
20170207,BMHQ,0.056,6005
20170207,BMTK,0.804,1849
20170207,BNBC,0.151,1091
20170207,BND,0.487,3260
20170207,BNR,0.065,6527
