date,ticker,positive,tweets
20170202,AAFK,0.489,574
20170202,AAT6,0.425,6619
20170202,AAYJ,0.483,7040
20170202,ABB,0.422,2404
20170202,ABI6,0.545,2083
20170202,ABSY,0.959,8727
20170202,ABW,0.132,5011
20170202,ACH,0.306,39
20170202,ACI,0.555,6808
20170202,ACOU,0.237,508
20170202,ADGI,0.977,1965
20170202,ADM0,0.383,7482
20170202,ADP,0.044,4210
20170202,ADQ,0.919,5785
20170202,ADV,0.984,1580
20170202,ADZS,0.053,7414
20170202,AEEQ,0.658,225
20170202,AFB0,0.366,6985
20170202,AFEO,0.337,4747
20170202,AFFT,0.055,6587
20170202,AFO,0.473,5134
20170202,AFZU,0.808,8387
20170202,AGAU,0.798,1587
20170202,AGUY,0.696,6592
20170202,AHEL,0.054,3968
20170202,AHFM,0.701,2098
20170202,AHGN,0.518,7426
20170202,AHI,0.359,5005
20170202,AHSV,0.569,5079
20170202,AID,0.643,6168
20170202,AIDA,0.258,6323
20170202,AIS,0.106,240
20170202,AJQ,0.581,1777
20170202,AKD,0.388,2788
20170202,AKE0,0.097,7357
20170202,AKG,0.564,1966
20170202,AKQ3,0.864,7389
20170202,AKRG,0.216,6919
20170202,AKZR,0.528,5855
20170202,ALVM,0.499,5277
20170202,ALYQ,0.788,8323
20170202,AMD2,0.481,990
20170202,AMD6,0.59,1794
20170202,AMDO,0.273,5472
20170202,AMJ,0.188,4006
20170202,AMK2,0.904,1294
20170202,AMT5,0.131,7960
20170202,AMXS,0.484,251
20170202,ANAH,0.041,5054
20170202,ANC2,0.054,2996
20170202,ANJO,0.585,3530
20170202,ANJQ,0.213,1927
20170202,ANK,0.985,2102
20170202,ANSD,0.315,947
20170202,AOR8,0.38,4343
20170202,AOU,0.903,668
20170202,AOZ,0.325,7908
20170202,APL,0.725,6972
20170202,APP5,0.88,3983
20170202,APU9,0.564,5162
20170202,APWX,0.552,7032
20170202,AQIC,0.145,4897
20170202,AQKX,0.104,6698
20170202,AQLC,0.035,2544
20170202,AQM3,0.237,3950
20170202,AQXQ,0.759,8095
20170202,ARG7,0.446,1339
20170202,ATG,0.869,7897
20170202,ATT,0.837,4661
20170202,AUB8,0.492,4000
20170202,AUHM,0.206,1724
20170202,AUP,0.799,6608
20170202,AUR,0.305,6615
20170202,AVMS,0.473,873
20170202,AVUM,0.861,7896
20170202,AWF,0.98,4683
20170202,AWHU,0.858,1667
20170202,AWN,0.846,2869
20170202,AWOU,0.254,6707
20170202,AWU,0.369,4171
20170202,AWV,0.728,577
20170202,AWY,0.127,849
20170202,AXB2,0.607,3570
20170202,AXLJ,0.651,5058
20170202,AYL,0.834,4320
20170202,AYSI,0.816,8689
20170202,AYUY,0.386,1232
20170202,AZG7,0.549,2690
20170202,AZGG,0.847,2217
20170202,AZM,0.13,1922
20170202,AZYZ,0.46,2470
20170202,BAC,0.44,4775
20170202,BAEC,0.739,6747
20170202,BAG,0.29,5350
20170202,BAU,0.148,5609
20170202,BBCS,0.567,4462
20170202,BBFU,0.001,5709
20170202,BBIU,0.91,2531
20170202,BBLY,0.225,2538
20170202,BBNH,0.064,664
20170202,BBOX,0.921,5731
20170202,BBQ,0.831,7639
20170202,BBVT,0.317,7400
20170202,BCG3,0.331,2053
20170202,BCJM,0.23,4075
20170202,BCRT,0.018,397
20170202,BCT2,0.765,7440
20170202,BDA0,0.268,551
20170202,BDBB,0.488,5335
20170202,BDL,0.79,2279
20170202,BERL,0.755,7333
20170202,BFEU,0.916,6205
20170202,BFJ,0.587,2134
20170202,BFM9,0.554,769
20170202,BFMF,0.534,7325
20170202,BFSN,0.657,5307
20170202,BFVJ,0.517,6289
20170202,BGEA,0.888,4329
20170202,BHA,0.389,1365
20170202,BHGI,0.479,6920
20170202,BHJ1,0.532,2289
20170202,BHT,0.634,2581
20170202,BHYA,0.924,7017
20170202,BIC6,0.218,1894
20170202,BICJ,0.408,6650
20170202,BIEN,0.865,4981
20170202,BIFY,0.328,8665
20170202,BIOH,0.257,6016
20170202,BIY1,0.662,7988
20170202,BJB1,0.807,5843
20170202,BJEZ,0.367,6228
20170202,BKJ,0.171,2151
20170202,BKMV,0.094,6040
20170202,BKOQ,0.024,2903
20170202,BKR,0.319,2509
20170202,BLI5,0.363,4976
20170202,BLM2,0.303,4098
20170202,BLP,0.612,1615
20170202,BMTK,0.365,3188
20170202,BNBC,0.854,1004
20170202,BND,0.315,1995
20170202,BNFS,0.562,6303
20170202,BNR,0.992,7702
20170202,BNTG,0.653,53
20170202,BNVO,0.346,4651
20170202,BOGZ,0.717,7182
20170202,BOLL,0.303,7066
20170202,BOSR,0.217,1452
20170202,BOT,0.555,1230
20170202,BQD,0.033,3047
20170202,BQD1,0.471,2901
20170202,BQJI,0.71,6203
20170202,BQJU,0.082,4677
20170202,BQM5,0.71,3022
20170202,BQY0,0.155,671
20170202,BRCC,0.989,6652
20170202,BRN7,0.778,4207
20170202,BRW0,0.204,4162
20170202,BRYL,0.777,5587
20170202,BSAM,0.005,4216
20170202,BSBK,0.264,6403
20170202,BSL0,0.122,5746
20170202,BTFA,0.901,1352
20170202,BTJR,0.082,1331
20170202,BTSA,0.88,6919
20170202,BTVS,0.101,106
20170202,BUM,0.224,3713
20170202,BURF,0.305,1722
20170202,BURM,0.569,262
20170202,BUS,0.459,3166
20170202,BUVF,0.003,2237
20170202,BUXM,0.733,5461
20170202,BUYU,0.334,7824
20170202,BVSQ,0.786,5661
20170202,BWK,0.461,6433
20170202,BWP,0.926,5662
20170202,BWQA,0.182,1708
20170202,BWU,0.336,6094
20170202,BWXW,0.715,1366
20170202,BXOR,0.338,539
20170202,BXZK,0.758,5236
20170202,BXZR,0.099,3251
20170202,BYFO,0.214,4
20170202,BYG3,0.43,6685
20170202,BYL,0.456,8840
20170202,BYP,0.276,7631
20170202,BYQ1,0.559,987
20170202,BYZ3,0.843,5847
20170202,BZKT,0.422,4685
20170202,BZNA,0.958,2451
20170202,BZNB,0.331,5763
20170202,BZP,0.016,5805
20170202,BZZ,0.2,3651
20170202,CAV7,0.961,343
20170202,CBLA,0.97,6854
20170202,CBU3,0.428,2690
20170202,CBY1,0.921,7640
20170202,CCSF,0.287,8175
20170202,CCXT,0.603,7403
20170202,CDAF,0.651,342
20170202,CDC,0.415,647
20170202,CDEN,0.045,907
20170202,CDN,0.037,5809
20170202,CDT,0.406,4699
20170202,CDXY,0.023,4777
20170202,CEQA,0.511,5076
20170202,CEQL,0.423,5987
20170202,CET7,0.833,1179
20170202,CEVJ,0.414,3160
20170202,CFG,0.55,1061
20170202,CFP2,0.878,531
20170202,CFPI,0.346,3278
20170202,CGH0,0.644,4904
20170202,CGP9,0.833,5756
20170202,CGVA,0.715,3078
20170202,CGWN,0.966,596
20170202,CGZ,0.114,3552
20170202,CHB,0.591,5062
20170202,CHJL,0.595,3683
20170202,CHMG,0.757,2727
20170202,CHNX,0.646,1540
20170202,CIAV,0.353,2375
20170202,CJD3,0.623,842
20170202,CJJZ,0.471,687
20170202,CJS,0.666,6522
20170202,CKIS,0.125,1734
20170202,CKN6,0.064,373
20170202,CKQ3,0.77,5994
20170202,CLB9,0.371,2635
20170202,CLBP,0.435,3002
20170202,CLCT,0.306,639
20170202,CLFG,0.098,2476
20170202,CLLB,0.599,1849
20170202,CLP,0.347,5638
20170202,CMM4,0.072,5289
20170202,CMOP,0.975,5999
20170202,CNGZ,0.181,8908
20170202,CNM,0.626,7314
20170202,CNM3,0.762,3250
20170202,CNPM,0.93,2097
20170202,CNWB,0.194,4376
20170202,CNZM,0.818,4336
20170202,COID,0.547,7524
20170202,COJ2,0.577,3797
20170202,COPW,0.706,3162
20170202,CPR9,0.102,7186
20170202,CQVZ,0.564,6089
20170202,CQW1,0.962,5586
20170202,CRBL,0.167,3591
20170202,CRRL,0.556,4726
20170202,CRWM,0.321,2131
20170202,CRWQ,0.266,3877
20170202,CSF,0.005,7625
